id,value
#AMJOY,6
#BBCANGELINAJOLIE…,1
#BEAUTIFULFAMILY,1
#BOEING,2
#BOWLINGGREEN…,1
#BOYCOTTNORDSTROM,13
#BREXIT,1
#BRITISHPARLIAMENT,1
#BUILDTHEWALL,4
#CDNPOLI,1
#CHINA,1
#CNN,1
#CULTURALMARXISM,2
#DEMOCRATS,1
#DONALDTRUMP,1
#ELECCIONES2017,2
#EXDEMOCRAT,1
#FACTSMATTER,2
#FAKENEWS,1
#FAKENEWSMEDIA,6
#FAKESTREAMMEDIA,7
#FBI,2
#FIREJAKETAPPER,1
#FLYNNRESIGNATION,1
#FUCKTRUMP,4
#GASLIGHTMEIN4WORDS,1
#GAYSFORTRUMP,1
#GITMO,1
#GLASGOW,1
#GREASYTRUMPKIN,1
#HCONRES15,1
#IDOHAVEARELATIONSHIP#IHAVENORELATIONSHIP#IDOHAVEARELATIONSHIP…,1
#IMPEACH45,1
#ISRAEL,3
#JOHNKASICH:,1
#JUSTUS,1
#LIARLIARPANTSONFIRE,1
#LIES,1
#MAGA,12
#MAGA@REALDONALDTRUMP,11
#MAGA@IAMFREEDOMMAN,1
#MAGA…,9
#MAKEAMERICAGREATAGAIN,1
#MCCAINRETIREPLEASE,2
#MELBOURNE,9
#MELBOURNE…,6
#MILO,1
#NEVERTRUMP,3
#NOTHINGHAPPENINGINSWEDEN,1
#NOTMYPRESIDENT,37
#NOTMYPRESIDENTSDAYHTTPS:…,5
#NOTMYPRESIDENTSDAY…,1
#NOTNORMAL,1
#NOTTHEENEMY,5
#OOPS,2
#OUTNU…,1
#PJNET,2
#POTUS,13
#PRESIDENTSDAY,7
#PRESIDENTSDAY…,2
#PRESIDENTTRUMP,19
#PUTINPUPPET,1
#RAPEJUDDAPATOWDIRECTOR,1
#RESIST,11
#RESISTANCEISFUTILE,1
#RESISTTHERESISTANCE,6
#RESISTTRUMPTUESDAYS,1
#RUSSIA,1
#RUSSIAGATE,4
#SATURDAYMORNING,8
#SPICER,1
#STANDUPFORSCIENCE,1
#STRONGERTOGETHER,1
#SUNDAYMORNING,4
#SWEDEN,1
#SWEDENINCIDENT,7
#SWEDENINCIDENTِ,1
#SWEDENISLOST,1
#SWEDENLASTNIGHT,5
#SWEDISHLIVESMATTER,1
#TALKINGPICS,1
#TAXMARCH,1
#TCOT,6
#TELLAUSELESSLIE,1
#THANKYOUTRUMP,8
#THATSHOWYOUGOTTRUMP#TCOT,3
#THEESTABLISHMENT#TPP@REALDONALDTRUMP,1
#THERESISTANCE,17
#THERESISTANCE...,1
#THEWALKINGDEAD,1
#TINYTRUMP,10
#TRIGGERED,2
#TRUMP,12
#TRUMP@IVANKATRUMP,3
#TRUMP2020,1
#TRUMPCULT,1
#TRUMPDONTCARE,2
#TRUMPIMPEACHMENTPARTY,2
#TRUMPLEAKS,4
#TRUMPLEAKS…,1
#TRUMPLOGIC…,1
#TRUMPRALLY,26
#TRUMPRALLYTHE,2
#TRUMPRUSSIA,55
#TRUMPRUSSIA#IMPEACHTRUMP,1
#TRUMPRUSSIA…,2
#TRUMPSARMY,7
#TRUMPSARMY…,1
#TRUMPUTIN,1
#TUESDAYTHOUGHTS,2
#US,1
#VERYFAKENEWS,1
#WANNAGOTODISNEYWORLD,1
#WINNING,1
#WTF,1
#YESHECAN,1
#YOU'REFIRED,1
#YOUREFIRED,1
(KERMIT,1
(NB:,1
(REUTERS),1
(THAT,1
(WHAT,1
**ABRAHAM,1
*DAM,12
*ROLLS,1
-,6
-@RUSHLIMBAUGH,9
...,1
....."GRAB,1
...BUT,1
0,1
02/21,1
1.,2
1ST,26
2.,1
20.,1
2017,1
22.,1
3.,1
30%,1
44,2
5,1
5TH,1
6.,1
@,1
@ACOSTA,1
@ADELLENAZ,1
@BAMAPERRY,1
@BARACKOBAMA,1
@CNN,1
@DONLEMON,2
@GOP,1
@HANNAHSDEVON,1
@HILLARYCLINTON,1
@IBMWATSON,1
@IMPEACH_D_TRUMP,1
@JAKETAPPER,5
@JEFFSESSIONS,1
@JOEROGAN…,1
